Influenza_Season,State,CDPH_HAI_HCP_FLU_VAX,County,Facility_ID,Facility_Name,HCP_Percent_Vaccinated,On Track to Achieve 90% by 2020 (>=84% in 2017-18)
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000011,Alameda Hospital,76,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000425,Alta Bates Summit Medical Center,82,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000012,"Alta Bates Summit Medical Center, Alta Bates Campus",84,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000014,Children's Hospital & Research Center Oakland,73,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000183,Eden Medical Center,90,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000184,Fairmont Hospital,100,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000034,Highland Hospital,86,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140001086,"Kaiser Foundation Hospital, Fremont",90,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000188,"Kaiser Foundation Hospital, Oakland/Richmond",81,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,630015029,"Kaiser Foundation Hospital, San Leandro",91,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000148,"Kindred Hospital, San Francisco Bay Area",84,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,630013913,San Leandro Hospital,75,No
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000041,St Rose Hospital,95,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000797,Stanford Health Care - ValleyCare,94,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Alameda,140000118,Washington Hospital,90,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Amador,30000108,Sutter Amador Hospital,87,Yes
2017-18,California,"California Department of Public Health, Healthcare-Associated Infections Program, Health Care Personnel Influenza Vaccination",Butte,230000005,Adventist Health Feather River,70,No
